"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Hits per pagina"
"%s-%s of %s","%s-%s van %s"
"###","Catalog Module"
"Filter","Filter"
"View Details","Toon beschrijving"
"Share on Facebook","Deel op Facebook"
"Share on Twitter","Deel op Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Weet je zeker dat je deze pagina wilt verlaten? Je moet opnieuw alle bestelstappen doorlopen."
"Zip/Postal Code","PLZ"
"Discount Codes?","Kortingscodes?"
"###","Customer Module"
"Registration is free and easy!","Registreren is gratis en eenvoudig!"
"Faster checkout","Betaal sneller"
"Save multiple shipping addresses","Bewaar meerdere bezorgadressen"
"View and track orders and more","Bekijken, verzending volgen en meer"
"###","Shipment Module"
"Item in your order","Product in jouw bestelling"
"Items in your order","Producten in jouw bestelling"
