"Language Packs","Taalpakketten"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Let op: uw taalpakket komt niet overeen met de geïnstalleerde Magento-versie. Klik <a href='%s'>hier</a> voor meer informatie."
"Netherlands","Nederland"
"Dutch (Netherlands)","Nederlands (Nederland)"
"Dutch (Custom)","Nederlands (Persoonlijk aangepast)"
"Dutch language package nl_NL - Community Edition (CE)","Nederlandse taalpakket nl_NL - Community Edition (CE)"
"Dutch language package nl_ZZ - Community Edition (CE)","Nederlandse taalpakket nl_ZZ - Community Edition (CE)"
"Dutch1","Nederlands"
"Dutch2","Nederlandse"
"Dutch3","Nederlandse"
"Dutch4","Nederlandse"
"Dutch5","Nederlandse"
"Dutch6","Nederlandse"
"The %s language pack in version %s has been successfully installed.","Het taalpakket <span style='color:red'>%s</span> in versie <span style='color:red'>%s</span> is met succes geïnstalleerd."
"On the <a href='%s'>Magento Connect page of the %s language pack</a>, you can find more information on the latest versions.","Zie de <a href='%s'>Magento Connect-pagina van het %s taalpakket</a> voor meer informatie over de huidige versies."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Voor geïnteresseerden is een <a href='%s'>GitHub-repository</a> beschikbaar. Het is bedoeld voor de volgende doeleinden"
"Development of current language pack versions","Entwicklung aktueller Sprachpaket-Versionen"
"Report an error / send in patches, also happy for both published releases","Fehler melden/Patches einsenden, auch gerne für bereits veröffentlichte Releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (unabhängig der offiziellen Quellen)"
"Copy / forks for their own purposes","Kopieren/Forken für eigene Zwecke"
"Active participation in the language pack","Aktives Mitwirken am Sprachpaket"
"View Preview versions & test","Vorschau-Versionen ansehen & testen"
"Note for detailed information, the README file on the GitHub page.","Zie het README-bestand op de GitHub-pagina voor meer informatie."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Om Magento landelijk te kunnen vertalen, moet u ook de informatie in de onderste paragrafen noteren!"
"powered by","geleverd door"
"and","en"
"Translate Magento Connect Manager","Vertaal Magento Connect Manager"
"To install the translation for the Magento Connect Manager, proceed as follows:","Um die Übersetzung für den Magento Connect Manager zu installieren, gehen Sie bitte wie folgt vor:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","In Ihrem Magento-Hauptverzeichnis im Unterordner ""%s"" den Ordner ""%s"" umbenennen in ""%s""."
"The directory","Das Verzeichnis"
"or","bzw."
"from","von"
"rename into ""template""","in ""template"" umbenennen"
"The Magento Connect Manager should be changed to %s now.","De Magento Connect Manager moet nu worden omgeschakeld naar het <span style='color:red'>%s</span>."
"Please note:","Let op:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","Wenn Magento aktualisiert wird, insbesondere das Modul ""Mage_Downloader"", werden die Einstellungen des Connect Managers überschrieben!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","Gleiches gilt auch für den TinyMCE-Editor. Führen Sie in dem Fall ein ""Reinstall"" des Sprachpakets durch und wiederholen die geschilderten Schritte."
"Using your own translations","Gebruik eigen vertalingen"
"Recommended extensions","Aanbevolen extensies"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Das installierte Sprachpaket liefert lediglich Übersetzungen der in Magento vorhandenen Texte. Wenn Sie Ihren Magento Shop auf die rechtlichen Anforderungen in %s vorbereiten oder um verbreitete Zahlungsarten erweitern möchten, dann empfehlen wir Ihnen zusätzlich folgende Erweiterungen zu installieren."
"Specific market adjustment for","Specifieke marktaanpassing voor"
"Dutch and European","Nederlandse en Europese"
"stores","winkels"
"Preconfigured for the %s market","Voorgeconfigureerd voor de %s markt"
"Currently not available","Momenteel niet beschikbaar"
"Common payment methods","Verbreitete Zahlungsarten"
"Debit / direct debit","Bankeinzug/Lastschrift"
"Cash On Delivery","Nachnahme"
"Payment in Advance","Vorkasse"
"Extension Key for the","Extensiesleutel voor de"
"on","auf"
"More Infos here soon!","Binnenkort meer informatie!"
"Translate TinyMCE","Vertaal TinyMCE"
"Use Dutch language for TinyMCE Editor?","Gebruik de Nederlandse versie van de TinyMCE-editor?"
"custom stores","aangepaste winkels"
"This is your individual language pack that is only managed and maintained by you.","Dit is je eigen persoonlijke taalpakket dat alleen door jou wordt beheerd en onderhouden."
"Adjust the file ""%s"" with your name and the link to your website.","Passen Sie die Datei ""%s"" mit Ihrem Namen und dem Link zu Ihrer Webseite an."
"Fill out the language files in ""app/locale/nl_ZZ"" with your own translations and never lose again your customizations.","Vul de taalbestanden in ""app/locale/nl_ZZ"" in met uw eigen vertalingen en verlies nooit meer uw aanpassingen."
